repository_path,line,kind,excerpt
01_simulation/01_design/4_模拟数据_多元相关性.R,555,local_absolute_path,"c2 = safeSigma(""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_low2.xlsx"", ""B1:U20""),"
01_simulation/01_design/4_模拟数据_多元相关性.R,556,local_absolute_path,"c3 = safeSigma(""F:/文章/大论文/程序/模拟数据/相关系数矩阵/cov_matrix_low3.xlsx"", ""B1:U20"")"
01_simulation/01_design/4_模拟数据_单个生成.R,81,local_absolute_path,"write.xlsx(raw_continuous, ""F:/文章/大论文/程序/模拟数据/raw_continuous.xlsx"")"
01_simulation/01_design/4_模拟数据_单个生成.R,184,local_absolute_path,"write.xlsx(raw_categorical,""F:/文章/大论文/程序/模拟数据/raw_categorical.xlsx"")"
01_simulation/01_design/4_模拟数据_单个生成.R,185,local_absolute_path,"write.xlsx(raw_cate_unchange,""F:/文章/大论文/程序/模拟数据/raw_cate_unchange.xlsx"")"
01_simulation/01_design/4_模拟数据_单个生成.R,259,local_absolute_path,"write.xlsx(raw_skewed20,""F:/文章/大论文/程序/模拟数据/raw_skewed20.xlsx"")"
01_simulation/01_design/4_模拟数据_单个生成.R,283,local_absolute_path,"write.xlsx(raw_continuous, ""F:/文章/大论文/程序/模拟数据/raw_continuous.xlsx"")"
01_simulation/01_design/4_模拟数据_单个生成.R,284,local_absolute_path,"write.xlsx(raw_categorical,""F:/文章/大论文/程序/模拟数据/raw_categorical.xlsx"")"
01_simulation/01_design/4_模拟数据_单个生成.R,285,local_absolute_path,"write.xlsx(raw_cate_unchange,""F:/文章/大论文/程序/模拟数据/raw_cate_unchange.xlsx"")"
01_simulation/01_design/4_模拟数据_单个生成.R,286,local_absolute_path,"write.xlsx(raw_skewed20,""F:/文章/大论文/程序/模拟数据/raw_skewed20.xlsx"")"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,203,local_absolute_path,"out_dir <- ""F:/文章/大论文/程序Trae/模拟数据_4V/协变量"""
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,250,local_absolute_path,"out_dir <- ""F:/文章/大论文/程序Trae/模拟数据_4V/协变量"""
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,255,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,259,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,263,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,267,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,271,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_low_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,275,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,279,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,283,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,287,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,291,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_low_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,296,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,300,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,304,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,308,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,312,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_medium_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,316,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,320,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,324,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,328,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,332,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_medium_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,337,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,341,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,345,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,349,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,353,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_500_high_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,357,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,361,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,365,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,369,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据1_数据生成_V4.R,373,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,12,local_absolute_path,"out_dir <- ""F:/文章/大论文/程序Trae/模拟数据_4V/协变量"""
